,სამეგრელო ზემო სვანეთი,აჭარა,გურია,იმერეთი,რაჭა-ლეჩხუმი ,შიდა ქართლი,მცხეთა-მთიანეთი,კახეთი,ქვემო ქართლი,სამცხე-ჯავახეთი,,,,,,,,,,,,,
,ge_sz,ge_aj,ge_gu,ge_im,ge_rk,ge_sd,ge_mm,ge_ka,ge_kk,ge_sj,,,,,,,,,,,,,
Jan-16,0.5778,0.2629,0.8751,0.5531,0.9427,0.6319,0.9245,0.7410,0.5962,0.6400,,,,,,,,,,,,,
Feb-16,0.5712,0.2558,0.8705,0.5437,0.9400,0.6207,0.9124,0.7352,0.5889,0.6264,,,,,,,,,,,,,
Mar-16,0.5770,0.2552,0.8709,0.5407,0.9399,0.6136,0.9084,0.7328,0.5916,0.6306,,,,,,,,,,,,,
Apr-16,0.5902,0.2578,0.8699,0.5525,0.9430,0.6201,0.9111,0.7352,0.6000,0.6370,,,,,,,,,,,,,
May-16,0.6121,0.2656,0.8835,0.5673,0.9452,0.6304,0.9126,0.7428,0.6111,0.6482,,,,,,,,,,,,,
Jun-16,0.6194,0.2736,0.8847,0.5735,0.9524,0.6347,0.9126,0.7424,0.6119,0.6469,,,,,,,,,,,,,
Jul-16,0.6052,0.2558,0.8745,0.5533,0.9522,0.6166,0.9003,0.7216,0.5857,0.6237,,,,,,,,,,,,,
Aug-16,0.6000,0.2537,0.8747,0.5559,0.9528,0.6179,0.9032,0.7166,0.5773,0.6184,,,,,,,,,,,,,
Sep-16,0.5896,0.2543,0.8763,0.5584,0.9534,0.6217,0.9037,0.7179,0.5833,0.6181,,,,,,,,,,,,,
Oct-16,0.5792,0.2533,0.8780,0.5569,0.9518,0.6210,0.9045,0.7099,0.5785,0.6171,,,,,,,,,,,,,
Nov-16,0.5756,0.2544,0.8772,0.5547,0.9509,0.6143,0.9065,0.7042,0.5728,0.6104,,,,,,,,,,,,,
Dec-16,0.5706,0.2481,0.8718,0.5471,0.9439,0.6019,0.8933,0.6909,0.5638,0.5991,,,,,,,,,,,,,
Jan-17,0.5587,0.2455,0.8742,0.5400,0.9439,0.5933,0.8911,0.6831,0.5565,0.5938,,,,,,,,,,,,,
Feb-17,0.5677,0.2478,0.8759,0.5429,0.9431,0.5943,0.8934,0.6830,0.5599,0.5927,,,,,,,,,,,,,
Mar-17,0.5904,0.2662,0.8886,0.5645,0.9464,0.6160,0.8993,0.7074,0.5858,0.6090,,,,,,,,,,,,,
Apr-17,0.6295,0.2938,0.9039,0.6026,0.9512,0.6493,0.9106,0.7375,0.6188,0.6386,,,,,,,,,,,,,
May-17,0.6369,0.3025,0.9066,0.6098,0.9520,0.6590,0.8873,0.7356,0.6266,0.6446,,,,,,,,,,,,,
