,აჭარა,სამეგრელი–ზემო სვანეთი,გურია,იმერეთი,რაჭა–ლეჩხუმი და ქვემო სვანეთი,შიდა ქართლი,მცხეთა–მთიანეთი,კახეთი,ქვემო ქართლი,სამცხე–ჯავახეთი
,ge_aj,ge_sz,ge_gu,ge_im,ge_rk,ge_sd,ge_mm,ge_ka,ge_kk,ge_sj
2012 Q1,12698,6092,1382,10057,264,4311,216,6064,4793,1302
2012 Q2,11650,6668,1352,10707,271,5117,260,7675,5488,1674
2012 Q3,11748,7104,1385,10855,279,5565,279,10032,7662,1799
2012 Q4,12918,7886,1625,10806,285,5116,277,9240,7870,1698
2013 Q1,14887,8131,2036,12269,298,5663,319,9825,9168,1984
2013 Q2,16103,8781,2440,13573,325,6735,370,11229,9754,2273
2013 Q3,14150,7592,930,11037,276,6404,114,10678,9297,2077
2013 Q4,14974,8180,1052,11551,293,6171,123,8253,9776,1936
2014 Q1,17403,7127,1250,14375,310,6647,142,11310,11136,2297
2014 Q2,20028,7332,1403,13550,147,8188,149,14165,11776,2559
2014 Q3,20762,7847,1270,13713,154,7855,172,14277,11936,2574
2014 Q4,23431,7064,1424,14191,152,6834,180,12044,12381,2481
2015 Q1,29285,8550,1676,15593,169,7955,485,16619,15375,3062
2015 Q2,29249,7666,1478,14110,187,7686,551,18785,14427,3434
2015 Q3,28813,7710,1199,13864,176,8268,674,21086,14759,3567
2015 Q4,19798,3893,816,7668,42,3099,333,8562,9246,1326
