hc_key,RegionName,RegionNameGeo,RegionCode,LoansbyRegionNC,LoansbyRegionFC,Larization,Overdue,Overdueshare,Population,LoansPerPerson,FDI,Active,ShareofActiveCompanies,FDIperActiveCompani,Production,abc
ge-ab,Abkhazia,აფხაზეთი,AB,0,0.00,0,0,0,0.00,0,0.00,,0,,,0
ge-aj,Ajaria,აჭარა,AJ,1,1020363.00,0,19798,0.016,338.00,3018.963383,160976.90,16985.00,0.085,9478.00,2663400000.00,1
ge-gu,Guria,გურია,GU,0,6206.00,0,816,0.015,112.80,0,52614.50,4359.00,0.025,9397.00,232500000.00,"53,338"
ge-sz,Tbilisi,თბილისი,TB,1,8807548.00,0,237341,0.02,1113.80,0.000897827,1275857.00,72430.00,0.436,17615.00,20700000000.00,"285,793"
ge-im,Imereti,იმერეთი,IM,0,377904.00,0,7668,0.009,531.30,0,26584.10,23864.00,0.138,718.00,1480300000.00,"62,031"
ge-ka,Kakheti,კახეთი,KA,1,136354.00,0,8562,0.019,317.90,0.003145643,962.20,10861.00,0.063,89.00,562900000.00,"51,828"
ge-mm,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,MM,0,2777.00,0,333,0.013,94.00,0,714.70,2968.00,0.018,63.00,564700000.00,"190,263"
ge-rk,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,RK,0,565.00,0,42,0.004,31.30,0,26584.10,13172.00,0.008,718.00,30900000.00,"2,346"
ge-sz,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,SZ,0,209348.00,0,3893,0.008,329.00,0,52614.50,1240.00,0.079,9397.00,1177700000.00,"949,758"
ge-sj,Samtskhe-Javakheti,სამცხე-ჯავახეთი,SJ,1,69842.00,0,1326,0.008,160.50,0.00623053,50180.60,4990.00,0.029,10056.00,584800000.00,"117,194"
ge-kk,Kvemo Kartli,ქვემო ქართლი,KK,1,207679.00,0,9246,0.021,426.90,0.002342469,77478.50,13200.00,0.075,5870.00,2251400000.00,"170,561"
ge-sd,Shida Kartli,შიდა ქართლი,SD,0,145807.00,0,3099,0.009,263.80,0,714.70,8448.00,0.044,63.00,654400000.00,"77,462"
